index,cumulative_v_fraction,cumulative_c_fraction,symbol
391,0.465473,0.534527,c
392,0.464286,0.535714,c
393,0.465649,0.534351,v
394,0.464467,0.535533,c
395,0.465823,0.534177,v
396,0.464646,0.535354,c
397,0.465995,0.534005,v
398,0.467337,0.532663,v
399,0.466165,0.533835,c
400,0.467500,0.532500,v
401,0.466334,0.533666,c
402,0.467662,0.532338,v
403,0.466501,0.533499,c
404,0.465347,0.534653,c
405,0.466667,0.533333,v
406,0.465517,0.534483,c
407,0.464373,0.535627,c
408,0.465686,0.534314,v
409,0.464548,0.535452,c
410,0.465854,0.534146,v
411,0.464720,0.535280,c
412,0.463592,0.536408,c
413,0.462470,0.537530,c
414,0.463768,0.536232,v
415,0.462651,0.537349,c
416,0.463942,0.536058,v
417,0.465228,0.534772,v
418,0.466507,0.533493,v
419,0.465394,0.534606,c
420,0.464286,0.535714,c
421,0.465558,0.534442,v
422,0.464455,0.535545,c
423,0.465721,0.534279,v
424,0.464623,0.535377,c
425,0.463529,0.536471,c
426,0.464789,0.535211,v
427,0.463700,0.536300,c
428,0.464953,0.535047,v
429,0.466200,0.533800,v
430,0.465116,0.534884,c
431,0.466357,0.533643,v
432,0.467593,0.532407,v
433,0.466513,0.533487,c
434,0.467742,0.532258,v
435,0.466667,0.533333,c
436,0.467890,0.532110,v
437,0.466819,0.533181,c
438,0.465753,0.534247,c
439,0.466970,0.533030,v
440,0.465909,0.534091,c
441,0.467120,0.532880,v
442,0.466063,0.533937,c
443,0.465011,0.534989,c
444,0.463964,0.536036,c
445,0.465169,0.534831,v
446,0.464126,0.535874,c
447,0.465324,0.534676,v
448,0.464286,0.535714,c
449,0.465479,0.534521,v
450,0.466667,0.533333,v
451,0.465632,0.534368,c
452,0.466814,0.533186,v
453,0.465784,0.534216,c
454,0.464758,0.535242,c
455,0.463736,0.536264,c
456,0.464912,0.535088,v
457,0.463895,0.536105,c
458,0.465066,0.534934,v
459,0.464052,0.535948,c
460,0.465217,0.534783,v
461,0.464208,0.535792,c
462,0.465368,0.534632,v
463,0.466523,0.533477,v
464,0.465517,0.534483,c
465,0.466667,0.533333,v
466,0.465665,0.534335,c
467,0.466809,0.533191,v
468,0.465812,0.534188,c
469,0.466951,0.533049,v
470,0.465957,0.534043,c
471,0.467091,0.532909,v
472,0.468220,0.531780,v
473,0.467230,0.532770,c
474,0.468354,0.531646,v
475,0.467368,0.532632,c
476,0.468487,0.531513,v
477,0.467505,0.532495,c
478,0.466527,0.533473,c
479,0.465553,0.534447,c
480,0.466667,0.533333,v
481,0.465696,0.534304,c
482,0.464730,0.535270,c
483,0.463768,0.536232,c
484,0.462810,0.537190,c
485,0.463918,0.536082,v
486,0.462963,0.537037,c
